epoch,reward,complexity,length,is_physical,is_elite,program,program_prefix,a,b
0,0.3249516318111335,10.0,10,True,False,(1.0*(tanh(d)*((sqrt_eu1*sqrt_eu1)*sqrt_eu1))),[mul 1.0 mul tanh d mul mul sqrt_eu1 sqrt_eu1 sqrt_eu1],1.0,1.0
0,0.2905889035985244,4.0,4,True,False,tanh((1.0*sqrt_eu2)),[tanh mul 1.0 sqrt_eu2],1.0,1.0
0,0.13840847240867948,8.0,8,True,False,(f*tanh(((d*1.0)*f))),[mul f tanh mul mul d 1.0 f],1.0,1.0
0,0.29734280386323153,4.0,4,True,False,tanh((d*d)),[tanh mul d d],1.0,1.0
0,0.4696115366273381,5.0,5,True,False,(a*(f*f)),[mul a mul f f],-0.03563925338921076,1.0
0,0.5115222248441879,4.0,4,True,True,(b*tanh(d)),[mul b tanh d],1.0,-5.621016299160204
0,0.2905876184889774,4.0,4,True,False,tanh((f*sqrt_eu2)),[tanh mul f sqrt_eu2],1.0,1.0
0,0.2905876184834493,8.0,8,True,False,tanh((b*(f*(sqrt_eu2*sqrt_eu2)))),[tanh mul b mul f mul sqrt_eu2 sqrt_eu2],1.0,1.0
0,0.2905876184889774,4.0,4,True,False,tanh((sqrt_eu2*f)),[tanh mul sqrt_eu2 f],1.0,1.0
0,0.3682455011843433,4.0,4,True,False,tanh((d*a)),[tanh mul d a],-16.39287738836994,1.0
0,0.5129038007353905,6.0,6,True,True,(a*tanh((sqrt_eu1*1.0))),[mul a tanh mul sqrt_eu1 1.0],-20.602830965378153,1.0
0,0.36824550109336857,6.0,6,True,False,tanh((b*(1.0*f))),[tanh mul b mul 1.0 f],1.0,-4.029831812812816
0,0.36824550086355473,4.0,4,True,False,(1.0*tanh(b)),[mul 1.0 tanh b],1.0,-9.736075302249295
0,0.36824550109336857,4.0,4,True,False,tanh((b*f)),[tanh mul b f],1.0,-4.029831812812816
0,0.2905876184889774,6.0,6,True,False,tanh(((f*sqrt_eu2)*b)),[tanh mul mul f sqrt_eu2 b],1.0,1.0
0,0.3200846886643919,5.0,5,True,False,(d*(sqrt_eu1*sqrt_eu1)),[mul d mul sqrt_eu1 sqrt_eu1],1.0,1.0
0,0.1752912912152369,6.0,6,True,False,(sqrt_eu2*tanh((1.0*d))),[mul sqrt_eu2 tanh mul 1.0 d],1.0,1.0
0,0.29734280386323153,4.0,4,True,False,tanh((d*d)),[tanh mul d d],1.0,1.0
0,0.2905889035985244,6.0,6,True,False,(1.0*tanh((sqrt_eu2*1.0))),[mul 1.0 tanh mul sqrt_eu2 1.0],1.0,1.0
0,0.36824550109336857,4.0,4,True,False,tanh((f*b)),[tanh mul f b],1.0,-4.029831812812816
0,0.2973794061877008,4.0,4,True,False,tanh((1.0*d)),[tanh mul 1.0 d],1.0,1.0
0,0.32590660396883486,9.0,9,True,False,(b*(tanh(f)*tanh((b*sqrt_eu2)))),[mul b mul tanh f tanh mul b sqrt_eu2],1.0,-2.9615257273521773e-17
0,0.36824549876364304,8.0,8,True,False,tanh((sqrt_eu1*(a*(1.0*d)))),[tanh mul sqrt_eu1 mul a mul 1.0 d],-74.12328658764885,1.0
0,0.31524433148754477,6.0,6,True,False,tanh(((d*sqrt_eu1)*1.0)),[tanh mul mul d sqrt_eu1 1.0],1.0,1.0
0,0.2973794061877008,4.0,4,True,False,tanh((d*1.0)),[tanh mul d 1.0],1.0,1.0
0,0.2541174181595111,4.0,4,True,False,(f*tanh(sqrt_eu1)),[mul f tanh sqrt_eu1],1.0,1.0
0,0.32590660396883486,8.0,8,True,False,(sqrt_eu1*(b*tanh((d*b)))),[mul sqrt_eu1 mul b tanh mul d b],1.0,-7.69397662933245e-18
0,0.2905889035985244,4.0,4,True,False,tanh((1.0*sqrt_eu2)),[tanh mul 1.0 sqrt_eu2],1.0,1.0
0,0.29059881621420675,6.0,6,True,False,tanh(((1.0*f)*1.0)),[tanh mul mul 1.0 f 1.0],1.0,1.0
0,0.3682455011843433,4.0,4,True,False,tanh((b*d)),[tanh mul b d],1.0,-16.39287738836994
0,0.3682455011366496,8.0,8,True,False,tanh((d*(a*(f*1.0)))),[tanh mul d mul a mul f 1.0],-1.6871338015744286,1.0
0,0.5001291989750347,5.0,5,True,True,(1.0*(a*1.0)),[mul 1.0 mul a 1.0],-4.347945191980372,1.0
0,0.32590660396777726,13.0,13,True,False,((b*b)*(a*(f*((d*a)*a)))),[mul mul b b mul a mul f mul mul d a a],0.00019024215776978722,0.5396985942610133
0,0.325906603968695,4.0,4,True,False,tanh((a*b)),[tanh mul a b],-1.9006324681922855e-06,-1.9006324681922855e-06
0,0.3682454976941865,6.0,6,True,False,tanh((sqrt_eu1*(1.0*b))),[tanh mul sqrt_eu1 mul 1.0 b],1.0,-72.12193527421522
0,0.2905878019992284,4.0,4,True,False,tanh((f*f)),[tanh mul f f],1.0,1.0
0,0.4442922536385842,8.0,8,True,False,(f*tanh(((sqrt_eu1*sqrt_eu1)*b))),[mul f tanh mul mul sqrt_eu1 sqrt_eu1 b],1.0,-9.863974209150415
0,0.29058834777568493,6.0,6,True,False,tanh((sqrt_eu2*(1.0*d))),[tanh mul sqrt_eu2 mul 1.0 d],1.0,1.0
0,0.2221656356393336,5.0,5,True,False,(1.0*(d*d)),[mul 1.0 mul d d],1.0,1.0
0,0.29734225568013795,6.0,6,True,False,tanh((d*(d*d))),[tanh mul d mul d d],1.0,1.0
0,0.2688312461699222,6.0,6,True,False,(tanh(sqrt_eu2)*(sqrt_eu2*sqrt_eu1)),[mul tanh sqrt_eu2 mul sqrt_eu2 sqrt_eu1],1.0,1.0
0,0.3682455008971791,4.0,4,True,False,tanh((sqrt_eu2*b)),[tanh mul sqrt_eu2 b],1.0,-2.36216334131142
0,0.42691497601864,4.0,4,True,False,(sqrt_eu2*tanh(b)),[mul sqrt_eu2 tanh b],1.0,-0.451445712845584
0,0.5001291989750337,4.0,4,True,True,(a*tanh(b)),[mul a tanh b],-5.124994470772991,1.250345248604608
0,0.3682454560380703,10.0,10,True,False,tanh(((b*(f*sqrt_eu1))*(sqrt_eu1*sqrt_eu1))),[tanh mul mul b mul f sqrt_eu1 mul sqrt_eu1 sqrt_eu1],1.0,-737.566207151978
0,0.29059881621420675,4.0,4,True,False,(1.0*tanh(f)),[mul 1.0 tanh f],1.0,1.0
0,0.3682455011843433,4.0,4,True,False,tanh((b*d)),[tanh mul b d],1.0,-16.39287738836994
0,0.4881533694326532,4.0,4,True,False,(f*tanh(a)),[mul f tanh a],-0.435085654005744,1.0
