epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog,best_prog_of_epoch_prefix,a,b,overall_best_prog_prefix,a,b
0,0.3284951690402689,0.5069237014532966,0.5191865760366523,0.5191865760366523,8.0,5.488,0.039006141460802876,1000,1000,(b*tanh((sqrt_eu1*(a*d)))),(b*tanh((sqrt_eu1*(a*d)))),[mul b tanh mul sqrt_eu1 mul a d],5.343298389704203,-5.919368350576502,[mul b tanh mul sqrt_eu1 mul a d],5.343298389704203,-5.919368350576502
1,0.3337176914894785,0.5064035314576277,0.5191865760366523,0.5129038007353905,6.0,5.391,0.030619236669637142,1000,1000,(1.0*(a*tanh(sqrt_eu1))),(b*tanh((sqrt_eu1*(a*d)))),[mul 1.0 mul a tanh sqrt_eu1],-20.602830965378153,1.0,[mul b tanh mul sqrt_eu1 mul a d],5.343298389704203,-5.919368350576502
2,0.33719766424008013,0.5081038079196711,0.5196744694263654,0.5196744694263654,8.0,5.492,0.04526880133101299,1000,1000,(a*(1.0*tanh((b*sqrt_eu1)))),(a*(1.0*tanh((b*sqrt_eu1)))),[mul a mul 1.0 tanh mul b sqrt_eu1],-6.506045544019791,4.486674766044604,[mul a mul 1.0 tanh mul b sqrt_eu1],-6.506045544019791,4.486674766044604
3,0.33536355617838237,0.5076666353031998,0.5196744694263654,0.5179449603380331,6.0,5.282,0.04706645377262639,1000,1000,(a*tanh((d*b))),(a*(1.0*tanh((b*sqrt_eu1)))),[mul a tanh mul d b],-7.5554457880857715,0.605835972657765,[mul a mul 1.0 tanh mul b sqrt_eu1],-6.506045544019791,4.486674766044604
4,0.3384827108670211,0.5091417942848373,0.5332361349958533,0.5332361349958533,10.0,5.233,0.05223817487499821,1000,1000,(a*tanh(((sqrt_eu1*sqrt_eu1)*(b*sqrt_eu1)))),(a*tanh(((sqrt_eu1*sqrt_eu1)*(b*sqrt_eu1)))),[mul a tanh mul mul sqrt_eu1 sqrt_eu1 mul b sqrt_eu1],-4.92840755499256,543.0076750292715,[mul a tanh mul mul sqrt_eu1 sqrt_eu1 mul b sqrt_eu1],-4.92840755499256,543.0076750292715
5,0.34582627603744787,0.5111352734607041,0.5332361349958533,0.5179449603380331,10.0,5.126,0.06442403185650553,1000,1000,(b*tanh(((a*(d*1.0))*1.0))),(a*tanh(((sqrt_eu1*sqrt_eu1)*(b*sqrt_eu1)))),[mul b tanh mul mul a mul d 1.0 1.0],0.6058359726577651,-7.5554457880857715,[mul a tanh mul mul sqrt_eu1 sqrt_eu1 mul b sqrt_eu1],-4.92840755499256,543.0076750292715
6,0.3440364119316611,0.5106382342808687,0.5332361349958533,0.5196744694263654,8.0,5.121,0.06752171511747108,1000,1000,(b*tanh((a*(sqrt_eu1*1.0)))),(a*tanh(((sqrt_eu1*sqrt_eu1)*(b*sqrt_eu1)))),[mul b tanh mul a mul sqrt_eu1 1.0],4.486674766044607,-6.506045544019789,[mul a tanh mul mul sqrt_eu1 sqrt_eu1 mul b sqrt_eu1],-4.92840755499256,543.0076750292715
7,0.348160757375519,0.5098167770218529,0.5332361349958533,0.5196744694263654,6.0,5.059,0.04855526358847276,1000,1000,(b*tanh((sqrt_eu1*a))),(a*tanh(((sqrt_eu1*sqrt_eu1)*(b*sqrt_eu1)))),[mul b tanh mul sqrt_eu1 a],4.486674766044607,-6.506045544019789,[mul a tanh mul mul sqrt_eu1 sqrt_eu1 mul b sqrt_eu1],-4.92840755499256,543.0076750292715
8,0.3528089511289901,0.512470237219571,0.5332361349958533,0.5196744694263654,6.0,5.001,-0.0020784491569447536,1000,1000,(a*tanh((b*sqrt_eu1))),(a*tanh(((sqrt_eu1*sqrt_eu1)*(b*sqrt_eu1)))),[mul a tanh mul b sqrt_eu1],-6.506045544019791,4.486674766044604,[mul a tanh mul mul sqrt_eu1 sqrt_eu1 mul b sqrt_eu1],-4.92840755499256,543.0076750292715
9,0.3587369592363054,0.5135811762516602,0.5332361349958533,0.5196744694263654,6.0,4.952,-0.003471047701529983,1000,1000,(b*tanh((a*sqrt_eu1))),(a*tanh(((sqrt_eu1*sqrt_eu1)*(b*sqrt_eu1)))),[mul b tanh mul a sqrt_eu1],4.486674766044607,-6.506045544019789,[mul a tanh mul mul sqrt_eu1 sqrt_eu1 mul b sqrt_eu1],-4.92840755499256,543.0076750292715
