materials,RL,RL_z_xy,zin/z0,a,b,r,theta,a_1,b_1,r_1,tehta_1,z_xy,z,r1,RL_r,RL_r1,theta_eu1,theta_eu2,theta1,d,f,e1,e2,u1,u2,tane,tanu,ac,C0,dm,e12,u12,sqrt_eu1,sqrt_eu2,tanh_eu,z1,z2,e_c,u_c,sqrt_eu1_c,sqrt_eu2_c,tanh_eu_c,zin/z0_c,z1_c,z2_c,z_c
sample1,-1.8754268996546357,-1.875426899654638,0.32130819619629714,0.11728675380639811,0.2991367151061125,0.3213081961962971,1.1971325608251864,-0.6703189473981278,0.4472027627660882,0.8058025826879411,2.5532560492040846,0.805802582687941,0.8058025826879412,0.1697513333756659,-5.786630489692498,-2.9777072422387563,0.17559789959713246,0.2803362440458831,1.9381351938444493,1,8.2,25.03,1.312,1.25,0.29,0.05241709948062325,0.23199999999999998,136.0953980984946,2.2634146341463416e-11,1.6340763838696086,25.064362030580394,1.283199127181748,0.22626568792176244,5.671205117169375,1.4200482589627033,0.9320222364998176,1.1566384329407848,(25.03-1.312j),(1.25-0.29j),(0.22539414587621276-0.01984037639363007j),(5.6155848974531635-0.7923217405221519j),(0.4004355417081544+1.3624200654423368j),(0.11728675380639811+0.2991367151061125j),(-0.8827132461936019+0.2991367151061125j),(1.1172867538063982+0.2991367151061125j),(-0.6703189473981279+0.44720276276608817j)
sample2,-1.9278007204186935,-1.9278007204186949,0.32570238676452873,0.12076883840255585,0.3024845986410019,0.32570238676452873,1.1909313580870546,-0.6633310131646353,0.4489168476894445,0.8009584066388525,2.546633887305828,0.8009584066388526,0.8009584066388528,0.1706040802279188,-5.871888314786378,-2.9929627806556613,0.17644059721897043,0.28298187272772185,1.941202171337207,1,8.242,25.037,1.335,1.253,0.293,0.053321084794504134,0.2338387869114126,138.2911454546904,2.2642942733257954e-11,1.6235749680454628,25.07256656188193,1.286801460987669,0.22654598837102785,5.680089372759927,1.4376877255981533,0.9298087803086176,1.1608702432008593,(25.037-1.335j),(1.253-0.293j),(0.22566497654219766-0.019960040310962966j),(5.6233273638718675-0.8010022729494135j),(0.41337523584300034+1.3769774546910107j),(0.12076883840255585+0.3024845986410019j),(-0.8792311615974442+0.3024845986410019j),(1.1207688384025558+0.3024845986410019j),(-0.6633310131646354+0.44891684768944456j)
sample3,-1.9934710464132566,-1.9934710464132566,0.32945156354027055,0.12502113666275044,0.3048082152873882,0.32945156354027055,1.1815593231373116,-0.6561713477393671,0.4487156874332345,0.7949255347155341,2.54179540837027,0.7949255347155341,0.7949255347155341,0.17127954679318122,-5.944847298705165,-3.0050500403176112,0.1782112800618583,0.2884125170370729,1.947518157068002,1,8.284,25.056,1.382,1.254,0.298,0.05515644955300127,0.2376395534290271,141.82243697884675,2.2876053358275927e-11,1.6140868842134075,25.09408416340393,1.2889220302252578,0.22663534858059156,5.687206511683753,1.453663630160136,0.9265506243015693,1.1655816599640842,(25.056-1.382j),(1.254-0.298j),(0.22573622234507937-0.020167774979385825j),(5.628174922056798-0.8172912291643908j),(0.4297694023420842+1.3886814647214358j),(0.12502113666275044+0.3048082152873882j),(-0.8749788633372495+0.3048082152873882j),(1.1250211366627505+0.3048082152873882j),(-0.6561713477393673+0.44871568743323453j)
sample4,-2.0101784852271654,-2.0101784852271654,0.3333917365724239,0.12632953177657538,0.30853022447709677,0.3333917365724239,1.182164953207157,-0.6517407320001405,0.4524536775823941,0.7933979531772891,2.5347541212441485,0.7933979531772892,0.7933979531772892,0.17172362589908796,-6.021741327480429,-3.0129982641440383,0.17598789602742126,0.2857492900261268,1.9437432380398376,1,8.326,25.102,1.379,1.255,0.295,0.054935861684327944,0.2350597609561753,141.3785051287241,2.2495629871211795e-11,1.6038332214156232,25.13984974099885,1.2892051814974992,0.2264538363008118,5.693015417875159,1.472228256400833,0.9265478867611894,1.1678223810014634,(25.102-1.379j),(1.255-0.295j),(0.22557769319163185-0.019900862034014633j),(5.635007965751436-0.8106230776890957j),(0.43596963223350027+1.4061957611638658j),(0.12632953177657538+0.30853022447709677j),(-0.8736704682234246+0.30853022447709677j),(1.1263295317765754+0.30853022447709677j),(-0.6517407320001405+0.4524536775823941j)
sample5,-2.0627261972134967,-2.0627261972134967,0.33480211864496584,0.12962228223311834,0.3086916302685183,0.3348021186449659,1.1732459996009115,-0.6474758038207848,0.450205347139589,0.7886125608474983,2.5340119666477294,0.7886125608474983,0.7886125608474983,0.17183171092202523,-6.049320599646696,-3.0149329821289443,0.18040625200086863,0.2906837094408581,1.9508868354412925,1,8.368,25.093,1.385,1.25,0.3,0.055194675806001674,0.24,144.29530615029324,2.2944550669216057e-11,1.5992584933686833,25.131193246640716,1.285496013218244,0.22616677858979387,5.683841018710314,1.480332879711779,0.9234976416769678,1.1710409997585032,(25.093-1.385j),(1.25-0.3j),(0.2252472875538038-0.020373295937056154j),(5.623913171714776-0.8231946082105684j),(0.44784690714437575+1.4109637070162313j),(0.12962228223311834+0.3086916302685183j),(-0.8703777177668817+0.3086916302685183j),(1.1296222822331183+0.3086916302685183j),(-0.6474758038207848+0.45020534713958893j)
sample6,-2.0921296622744547,-2.092129662274452,0.33390337900311884,0.13132989802975661,0.30699173342810737,0.33390337900311884,1.1665596559239595,-0.6465871390527118,0.4468092295081594,0.7859474638689573,2.5369141956698,0.7859474638689573,0.7859474638689571,0.17143868538647325,-6.031742842796477,-3.0078981938703557,0.18406054378216546,0.29525656364849506,1.9572868355395778,1,8.41,25.047,1.394,1.24,0.303,0.05565536790833233,0.24435483870967742,146.63447653774196,2.3431671081822466e-11,1.5991416728203922,25.08576179827912,1.2764830590336873,0.22557651386628455,5.6587586941358206,1.4802222681792458,0.9213206121921875,1.1722419812347677,(25.047-1.394j),(1.24-0.303j),(0.22462191975812495-0.02073057578169344j),(5.597206801542075-0.8323616877469018j),(0.45466376931798436+1.408665616845699j),(0.13132989802975661+0.30699173342810737j),(-0.8686701019702434+0.30699173342810737j),(1.1313298980297566+0.30699173342810737j),(-0.6465871390527117+0.4468092295081593j)
sample7,-2.091301177011714,-2.091301177011714,0.3346920394341107,0.13134212800860154,0.3078441272311954,0.3346920394341107,1.1675277602285163,-0.6459440530637997,0.4478700102670882,0.7860224333854159,2.5353388186354344,0.7860224333854159,0.7860224333854159,0.17143070586798662,-6.04716700560178,-3.0077553781017627,0.18297679304096415,0.2940357301581731,1.9555241266786552,1,8.431,25.042,1.392,1.238,0.301,0.055586614487660724,0.2431340872374798,146.24367137059147,2.329410972904632e-11,1.5966058637221288,25.08065844430724,1.2740663248041681,0.2253858004336118,5.652824278872212,1.4849739370901294,0.9215934598527494,1.1724772992590378,(25.042-1.392j),(1.238-0.301j),(0.22444320432682824-0.020591431922173883j),(5.591843449516767-0.8280755786180233j),(0.4555209049089765+1.4133818659611657j),(0.13134212800860154+0.3078441272311954j),(-0.8686578719913984+0.3078441272311954j),(1.1313421280086016+0.3078441272311954j),(-0.6459440530637997+0.44787001026708817j)
sample8,-2.11455633930053,-2.11455633930053,0.3375155097504514,0.13297336821519903,0.3102173474640194,0.3375155097504514,1.1658416971765555,-0.642152871709085,0.4496348478115803,0.7839207912861907,2.5307330932346304,0.7839207912861909,0.7839207912861909,0.17178789546985498,-6.102462230589878,-3.0141486782043425,0.18206049590138612,0.2937964542213347,1.9548267021720278,1,8.473,25.033,1.4,1.237,0.3,0.05592617744577157,0.24252223120452707,146.75884779535437,2.3139003355136735e-11,1.589619315592681,25.0721177605722,1.2728585938744337,0.22531731643317604,5.6491822911087,1.497956371456034,0.920852856265163,1.1746758939181927,(25.033-1.4j),(1.237-0.3j),(0.2243844142564779-0.02048237592237052j),(5.5883397157910935-0.8268734964237703j),(0.4625593378698027+1.4247498551448172j),(0.13297336821519903+0.3102173474640194j),(-0.867026631784801+0.3102173474640194j),(1.132973368215199+0.3102173474640194j),(-0.642152871709085+0.4496348478115803j)
sample9,-2.1442331184149355,-2.1442331184149346,0.34067549175560324,0.13502564703566716,0.3127744639920617,0.34067549175560324,1.1632619788987446,-0.6377123875852934,0.45129783237757376,0.7812469665787075,2.525729303767979,0.7812469665787075,0.7812469665787074,0.17229783421185685,-6.164489015902474,-3.0232774210497353,0.18183859989959805,0.2940183502231227,1.9549376501729219,1,8.515,25.005,1.404,1.237,0.3,0.05614877024595081,0.24252223120452707,147.51525754660196,2.3024870866479574e-11,1.5826639337424375,25.044385418692148,1.2728585938744337,0.22544203197116763,5.6460571382590405,1.5111445225048943,0.9197872018089769,1.1773321896364919,(25.005-1.404j),(1.237-0.3j),(0.22451088577787276-0.020468804227993735j),(5.5851564977396055-0.8270357333531166j),(0.4704973378103976+1.4360327374436397j),(0.13502564703566716+0.3127744639920617j),(-0.8649743529643328+0.3127744639920617j),(1.1350256470356672+0.3127744639920617j),(-0.6377123875852934+0.45129783237757376j)
sample10,-2.182086009562968,-2.182086009562968,0.34852109106738544,0.13797797945142717,0.3200453532006086,0.34852109106738544,1.1637533547828445,-0.6286808688382827,0.4580508176174872,0.7778497196523931,2.5119351072197684,0.7778497196523931,0.7778497196523931,0.17362680764768634,-6.319147658083239,-3.047076016099312,0.17715866642258898,0.29047224576306846,1.949051578974363,1,8.557,25.054,1.421,1.247,0.297,0.05671749022112238,0.23817161186848432,147.13207430785013,2.2320401907758172e-11,1.5670337201325715,25.094265420609545,1.2818806496706314,0.22601463011653325,5.671671117085178,1.5420288982517982,0.9195167165505728,1.1821264356326928,(25.054-1.421j),(1.247-0.297j),(0.225128520632967-0.01999405472446968j),(5.611958404174884-0.8208386748863093j),(0.4828213089789035+1.4644919619579866j),(0.13797797945142717+0.3200453532006086j),(-0.8620220205485728+0.3200453532006086j),(1.137977979451427+0.3200453532006086j),(-0.6286808688382827+0.4580508176174873j)
