epoch,reward,complexity,length,is_physical,is_elite,program,program_prefix,a,b
0,0.1828495368360584,4.0,4,True,False,tanh((sqrt_eu2*1.0)),[tanh mul sqrt_eu2 1.0],1.0,1.0
0,0.0017014301474238436,5.0,5,True,False,(f*(d*sqrt_eu2)),[mul f mul d sqrt_eu2],1.0,1.0
0,0.44243426086712634,4.0,4,True,False,tanh((sqrt_eu1*1.0)),[tanh mul sqrt_eu1 1.0],1.0,1.0
0,0.5001179796844922,8.0,8,True,False,(b*tanh((a*(a*b)))),[mul b tanh mul a mul a b],0.8082028291223287,0.7299722412048703
0,0.026527052022856115,7.0,7,True,False,((f*tanh(d))*tanh(d)),[mul mul f tanh d tanh d],1.0,1.0
0,0.5498982768973607,8.0,8,True,False,tanh((sqrt_eu1*((a*sqrt_eu1)*sqrt_eu2))),[tanh mul sqrt_eu1 mul mul a sqrt_eu1 sqrt_eu2],1.57050507769357,1.0
0,0.37975253854368685,6.0,6,True,False,tanh((a*(d*sqrt_eu2))),[tanh mul a mul d sqrt_eu2],0.03138653229458094,1.0
0,0.3017746970860395,6.0,6,True,False,(b*tanh((f*b))),[mul b tanh mul f b],1.0,1.089577004518064e-17
0,0.46116784317548426,7.0,7,True,False,(sqrt_eu1*(1.0*(sqrt_eu2*a))),[mul sqrt_eu1 mul 1.0 mul sqrt_eu2 a],0.24252483143747752,1.0
0,0.37448070381403287,5.0,5,True,False,((a*sqrt_eu2)*d),[mul mul a sqrt_eu2 d],0.027870142614273577,1.0
0,0.18284420722234324,4.0,4,True,False,tanh((b*f)),[tanh mul b f],1.0,1.0
0,0.1828495368360584,4.0,4,True,False,(1.0*tanh(sqrt_eu2)),[mul 1.0 tanh sqrt_eu2],1.0,1.0
0,0.02315774514736682,4.0,4,True,False,(sqrt_eu2*tanh(d)),[mul sqrt_eu2 tanh d],1.0,1.0
0,0.44243426086712634,4.0,4,True,False,tanh((sqrt_eu1*d)),[tanh mul sqrt_eu1 d],1.0,1.0
0,0.25050908512435627,4.0,4,True,False,tanh((1.0*d)),[tanh mul 1.0 d],1.0,1.0
0,0.500117980185819,5.0,5,True,False,(d*(a*b)),[mul d mul a b],0.5691124210697599,0.5691124210697599
0,0.44243426086712634,4.0,4,True,False,(1.0*tanh(sqrt_eu1)),[mul 1.0 tanh sqrt_eu1],1.0,1.0
0,0.37448070381403287,6.0,6,True,False,((b*sqrt_eu2)*tanh(d)),[mul mul b sqrt_eu2 tanh d],1.0,0.036594480664439794
0,0.18284420336824972,6.0,6,True,False,tanh((f*(a*f))),[tanh mul f mul a f],1.0,1.0
