epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog,best_prog_of_epoch_prefix,a,b,overall_best_prog_prefix,a,b
0,0.14939212766205584,0.5031535204062416,0.543008559056983,0.543008559056983,16.0,8.599,0.053482721972359856,1000,928,(((a*e2)/((((sinh(a)+b)-f)*b)*0.0209))+b),(((a*e2)/((((sinh(a)+b)-f)*b)*0.0209))+b),[add div mul a e2 mul mul sub add sinh a b f b 0.0209 b],0.00012416113170373211,0.28903737201700835,[add div mul a e2 mul mul sub add sinh a b f b 0.0209 b],0.00012416113170373211,0.28903737201700835
1,0.15464747971729098,0.5019627217619977,0.543008559056983,0.528899257578379,6.0,8.452,0.013600134142667163,1000,943,(u2/sinh((b*u2))),(((a*e2)/((((sinh(a)+b)-f)*b)*0.0209))+b),[div u2 sinh mul b u2],1.0,3.1598013344037015,[add div mul a e2 mul mul sub add sinh a b f b 0.0209 b],0.00012416113170373211,0.28903737201700835
2,0.16342148264109957,0.5082455425568697,0.543008559056983,0.531185292940776,9.0,8.517,0.14658524994713917,1000,941,exp((cosh(((a+0.0209)+u2))+b)),(((a*e2)/((((sinh(a)+b)-f)*b)*0.0209))+b),[exp add cosh add add a 0.0209 u2 b],-1.6445542267506275,-3.307675506697692,[add div mul a e2 mul mul sub add sinh a b f b 0.0209 b],0.00012416113170373211,0.28903737201700835
3,0.16709633614565397,0.5061482668615969,0.543008559056983,0.5329288375246074,13.0,8.619,0.11450448511277064,1000,948,tanh((u1/(exp((d+(b*(b*e2))))+d))),(((a*e2)/((((sinh(a)+b)-f)*b)*0.0209))+b),[tanh div u1 add exp add d mul b mul b e2 d],1.0,0.12208166096375288,[add div mul a e2 mul mul sub add sinh a b f b 0.0209 b],0.00012416113170373211,0.28903737201700835
4,0.1651208761872314,0.5065641538653821,0.5508002231221887,0.5508002231221887,9.0,8.635,0.1116131656462831,1000,938,(a-((e2*(e1*a))-b)),(a-((e2*(e1*a))-b)),[sub a sub mul e2 mul e1 a b],1.7470612821961204e-05,0.27983888865916684,[sub a sub mul e2 mul e1 a b],1.7470612821961204e-05,0.27983888865916684
5,0.17962779117202984,0.5074467824604411,0.5508002231221887,0.5435575453043896,12.0,8.603,0.16682335054686953,1000,945,(a-(((e2+exp(tanh(f)))/b)/exp(d))),(a-((e2*(e1*a))-b)),[sub a div div add e2 exp tanh f b exp d],0.2940467968293661,183.28963412027775,[sub a sub mul e2 mul e1 a b],1.7470612821961204e-05,0.27983888865916684
6,0.17791142302235638,0.5101881672649438,0.5508002231221887,0.5422632891594613,9.0,8.526,0.2207427982615487,1000,950,log(cosh(((a-(e2*b))+a))),(a-((e2*(e1*a))-b)),[log cosh add sub a mul e2 b a],0.3997179074238774,0.0034980246403075615,[sub a sub mul e2 mul e1 a b],1.7470612821961204e-05,0.27983888865916684
7,0.2010615998608431,0.5107973989896151,0.5508002231221887,0.5391903621373305,9.0,8.584,0.23471824328265195,1000,956,((b*sinh(0.0209))/exp((e2*a))),(a-((e2*(e1*a))-b)),[div mul b sinh 0.0209 exp mul e2 a],0.009225867564864442,13.869472474806834,[sub a sub mul e2 mul e1 a b],1.7470612821961204e-05,0.27983888865916684
8,0.20878169330431712,0.5137801355577085,0.5508002231221887,0.543557549334781,10.0,8.5,0.29998408741917687,1000,953,((((a*e2)*a)-sinh(a))/b),(a-((e2*(e1*a))-b)),[div sub mul mul a e2 a sinh a b],0.006953282640066715,-0.024095233722701916,[sub a sub mul e2 mul e1 a b],1.7470612821961204e-05,0.27983888865916684
9,0.24296635669686237,0.5234206389738567,0.5508002231221887,0.5337544080964541,11.0,8.643,0.3220984880900124,1000,976,(b/(a+(((e2+e2)/a)*d))),(a-((e2*(e1*a))-b)),[div b add a mul div add e2 e2 a d],13.81673923184728,3.970905049459569,[sub a sub mul e2 mul e1 a b],1.7470612821961204e-05,0.27983888865916684
