complexity,length,reward,rmse,r2,expression,expression_prefix,a,b
4,4,0.7093048898314486,0.07496919664863265,0.8320385770189807,(e2/exp(e2)),[div e2 exp e2],1.0,1.0
5,5,0.7212998657540183,0.07068046710299877,0.8507058972336132,(a/(b+e2)),[div a add b e2],1.2874655705119238,2.647573011174716
6,6,0.7758072099774684,0.05286228291634154,0.9164905428504577,(b/(cosh(e2)+a)),[div b add cosh e2 a],3900.9784014885427,1429.5090016276947
7,7,0.7902496105324885,0.0485530559555607,0.9295506531773465,(f/(a+(e2*e2))),[div f add a mul e2 e2],26.482804051563317,1.0
8,8,0.8041741294897902,0.044544906592421316,0.9407020149342478,(f/(a+(cosh(e2)*b))),[div f add a mul cosh e2 b],28.162932478642215,0.004092791924667999
10,10,0.8075751502681342,0.0435869312625009,0.9432250947138654,((f/(b+cosh((e2*a))))/a),[div div f add b cosh mul e2 a a],0.5218192987905499,52.535925928614574
12,12,0.8084608286695606,0.04333878244558604,0.9438697154998319,(f/((e2+((a+cosh(e2))*a))+b)),[div f add add e2 mul add a cosh e2 a b],0.002620702630168834,27.590492777256678
14,14,0.8093849669923218,0.04308043691750926,0.9445369140878197,(f/(e2+(((cosh(e2)/a)+(e2/a))+b))),[div f add e2 add add div cosh e2 a div e2 a b],336.475041540036,26.973291703319262
16,16,0.809914798707967,0.042932586836204586,0.9449169543545852,(f/(e2+((cosh(e2)/(((a*a)+e2)/a))+b))),[div f add e2 add div cosh e2 div add mul a a e2 a b],0.02780164242160639,26.924871573376738
17,17,0.8129480589080454,0.042089862339775734,0.9470581830782723,(e1/((cosh(b)*(cosh((((b+e2)/b)+a))*a))/f)),[div e1 div mul cosh b mul cosh add div add b e2 b a a f],1.690440077351698,4.361473731524774
