materials,RL,RL_z_xy,zin/z0,x,y,r,theta,a_1,b_1,r_1,tehta_1,z_xy,z,r1,RL_r,RL_r1,theta_eu1,theta_eu2,theta1,d,f,e1,e2,u1,u2,tane,tanu,ac,C0,dm,e12,u12,sqrt_eu1,sqrt_eu2,tanh_eu,z1,z2,e_c,u_c,sqrt_eu1_c,sqrt_eu2_c,tanh_eu_c,zin/z0_c,z1_c,z2_c,z_c
sample332,-2.054435105,-2.054435105,0.327432086,0.128553566,0.301140751,0.327432086,1.167327071,-0.65438383,0.441452142,0.789365688,2.548112782,0.789365688,0.789365688,0.184375266,-5.905523332,-3.239978833,0.242093441,0.298466871,1.989513592,1,8.725,20.146,0.568,1.238,0.343,0.028194182,0.277059774,138.2666181,2.57E-11,1.720091162,20.15400556,1.284637303,0.252469882,5.088279409,1.296915432,0.922011192,1.168040626,(20.146-0.568j),(1.238-0.343j),(0.25062250624109855-0.03048607518817885j),(5.031724920026286-0.7565260542859951j),(0.36142831752321114+1.2455357117422683j),(0.12855356612190738+0.30114075082648817j),(-0.8714464338780926+0.30114075082648817j),(1.1285535661219073+0.30114075082648817j),(-0.6543838296122699+0.4414521415378024j)
sample45,-3.362931175,-3.362931175,0.321989408,0.203583999,0.249460887,0.321989408,0.886317598,-0.593259213,0.330226936,0.678974465,2.633672122,0.678974465,0.678974465,0.164022181,-5.799829933,-2.875330031,0.342471465,0.466067552,2.207303285,1,9.964,23.87,1.477,0.97,0.415,0.061876833,0.427835052,242.1139757,4.43E-11,1.563240657,23.91565238,1.055047392,0.210036546,5.023161025,1.533016104,0.834571255,1.229164422,(23.87-1.477j),(0.97-0.415j),(0.20696475119280042-0.0357902566153971j),(4.887386401951204-1.1600003629212954j),(0.7527185448191495+1.335497348439249j),(0.2035839991565252+0.24946088656012821j),(-0.7964160008434749+0.24946088656012821j),(1.2035839991565251+0.24946088656012821j),(-0.5932592134781917+0.33022693571275497j)
sample308,-5.02550181,-5.02550181,0.522541353,0.332033093,0.403489146,0.522541353,0.882244336,-0.37527472,0.416587565,0.56069271,2.304069994,0.56069271,0.56069271,0.19700061,-10.07266669,-3.46758313,0.275663388,0.346032602,2.053864296,1,12.001,20.313,0.715,1.077,0.346,0.035199134,0.321262767,207.5187841,2.49E-11,1.335239943,20.32557979,1.13121395,0.235912474,4.79505781,2.214979755,0.780373808,1.391803022,(20.313-0.715j),(1.077-0.346j),(0.2336751365621545-0.03241335872886406j),(4.723467497495907-0.8254902785013561j),(1.159101483758859+1.8874901493115477j),(0.3320330928135796+0.4034891462038628j),(-0.6679669071864204+0.4034891462038628j),(1.3320330928135795+0.4034891462038628j),(-0.375274720240046+0.41658756502311084j)
sample324,-2.065575443,-2.065575443,0.342208817,0.130380001,0.316398371,0.342208817,1.179923617,-0.640768089,0.459258259,0.788353913,2.519725961,0.788353913,0.788353913,0.191406299,-6.194640781,-3.366590754,0.217632352,0.295766867,1.974583044,1,8.41,20.288,0.793,1.341,0.352,0.039087145,0.262490679,137.7189111,2.33E-11,1.708604848,20.30349214,1.386428866,0.26131445,5.305595874,1.309567141,0.925390119,1.173825744,(20.288-0.793j),(1.341-0.352j),(0.25976886864513493-0.028379155656561003j),(5.247686136636844-0.7817530227959016j),(0.3644937937225919+1.2578196889863398j),(0.13038000116512138+0.3163983714596531j),(-0.8696199988348786+0.3163983714596531j),(1.1303800011651215+0.3163983714596531j),(-0.6407680893519044+0.4592582590622777j)
sample1050,-1.723687434,-1.723687434,0.098990978,0.098900856,0.004223089,0.098990978,0.042674303,-0.819973524,0.00699418,0.820003353,3.133063098,0.820003353,0.820003353,0.098659784,-1.725299748,-1.71948958,-0.12747211,1.541017522,3.047281467,1,12.001,88.33,97.41,0.979,0.836,1.102796332,0.853932584,2278.105878,7.27E-11,0.671596989,131.4948554,1.287376013,0.098946019,13.01089247,1.000454378,0.90110904,1.09890897,(88.33-97.41j),(0.979-0.836j),(0.09874511360228978+0.0063021600154039865j),(9.33604929159076-9.062091721838412j),(1.00023248644838-0.021069763831664316j),(0.09890085552619998+0.004223088959071981j),(-0.9010991444738+0.004223088959071981j),(1.0989008555262+0.004223088959071981j),(-0.8199735243623096+0.006994179736858476j)
sample614,-4.919230004,-4.919230004,0.276015175,0.275864615,0.009115441,0.276015175,0.03303115,-0.567484429,0.011198925,0.56759492,3.121860885,0.56759492,0.56759492,0.161530338,-4.922527518,-2.830864079,-0.113298037,0.855246728,2.368597709,1,11.518,37.5,19.727,1.162,0.452,0.526053333,0.388984509,727.2613802,2.91E-11,0.985770608,42.37221411,1.246815143,0.171538045,7.268446752,1.609060985,0.724192756,1.275897177,(37.5-19.727j),(1.162-0.452j),(0.17126287579761648+0.009712265314644402j),(6.613951700272609-3.014292801560416j),(1.6086122360505546-0.03799905778830963j),(0.27586461452019884+0.009115440910480652j),(-0.7241353854798012+0.009115440910480652j),(1.2758646145201988+0.009115440910480652j),(-0.5674844290717347+0.011198924657593983j)
sample366,-1.716432013,-1.716432013,0.390331862,0.112400418,0.373798219,0.390331862,1.278699188,-0.615499406,0.542853806,0.820688597,2.418827013,0.820688597,0.820688597,0.185850912,-7.160499524,-3.266523031,0.153721731,0.188097205,1.83495807,1,10.09,20.245,0.348,1.153,0.199,0.017189429,0.172593235,96.61036612,1.48E-11,1.537470979,20.24799074,1.170047008,0.24038684,4.867350509,1.623765517,0.963098192,1.173524519,(20.245-0.348j),(1.153-0.199j),(0.23967713564845183-0.01845815418750131j),(4.845840173545658-0.4570929747316253j),(0.3468010068923185+1.5862986848096559j),(0.11240041768359707+0.3737982186004855j),(-0.8875995823164029+0.3737982186004855j),(1.112400417683597+0.3737982186004855j),(-0.6154994064012134+0.5428538057549309j)
sample534,-6.453519468,-6.453519468,0.434184028,0.374945575,0.218932834,0.434184028,0.528501344,-0.418634613,0.225889447,0.475690005,2.646779847,0.475690005,0.475690005,0.13902063,-8.078593575,-2.430776891,0.052510873,0.439756366,2.036011802,1,8.326,50.092,9.822,1.222,0.307,0.196079214,0.251227496,305.0720642,2.47E-11,1.150576347,51.04586318,1.259973412,0.157108765,8.019752516,2.763588831,0.662287415,1.392266828,(50.092-9.822j),(1.222-0.307j),(0.15705461668106208-0.004124485259276541j),(7.826669164571147-1.7491941606490717j),(2.349129484645105+1.4556833070146513j),(0.3749455750870747+0.2189328338606562j),(-0.6250544249129253+0.2189328338606562j),(1.3749455750870747+0.2189328338606562j),(-0.4186346125400957+0.22588944723615542j)
sample612,-4.77387665,-4.77387665,0.268625045,0.268163153,0.015746047,0.268625045,0.058650816,-0.576841046,0.019578722,0.577173214,3.107664401,0.577173214,0.577173214,0.162656031,-4.783863924,-2.850947034,-0.108933684,0.908289823,2.42382298,1,11.434,36.776,20.504,1.16,0.49,0.557537524,0.422413793,765.0918063,3.18E-11,1.003603597,42.10567886,1.259245806,0.172935805,7.281579465,1.553322314,0.732006222,1.268260904,(36.776-20.504j),(1.16-0.49j),(0.1726793494741712+0.009414610615159993j),(6.5434929323153606-3.1943856616352826j),(1.553308717841742+0.006499041649353865j),(0.26816315298297055+0.01574604702782939j),(-0.7318368470170294+0.01574604702782939j),(1.2681631529829707+0.01574604702782939j),(-0.576841045906364+0.019578721559485892j)
sample307,-5.312234811,-5.312234811,0.538172033,0.351583806,0.407453021,0.538172033,0.858871076,-0.3564693,0.408925819,0.542485656,2.28776628,0.542485656,0.542485656,0.199825278,-10.45049364,-3.518663603,0.27694162,0.351809688,2.060280498,1,11.959,20.373,0.763,1.101,0.358,0.037451529,0.325158946,212.9825949,2.47E-11,1.323291794,20.38728275,1.157741336,0.238301127,4.85831246,2.25836965,0.76580776,1.411664532,(20.373-0.763j),(1.101-0.358j),(0.2360201627269491-0.032892400474339674j),(4.783341873674213-0.8502002590243843j),(1.225249366471737+1.8971023865171277j),(0.3515838062938975+0.4074530211325366j),(-0.6484161937061025+0.4074530211325366j),(1.3515838062938976+0.4074530211325366j),(-0.35646930012790073+0.408925818611405j)
